name;period;certificate;institution;level
SVG: trabalhando com CSS e JavaScript;jul de 2023;https://cursos.alura.com.br/certificate/9872f813-ddf1-475f-bbb5-a5fbe3f3eb7d;Alura;Curso Online
JavaScript: manipulando o DOM;jun de 2023;https://cursos.alura.com.br/certificate/cecadb9e-921e-4fbf-961f-6528d23d8cd2?lang=pt_BR;Alura;Curso Online
Protractor: testando sua aplicação de ponta a ponta;mai de 2023;https://cursos.alura.com.br/certificate/9d3c5dce-3328-46ac-b524-45832f0e9f72?lang=pt_BR;Alura;Curso Online
JavaScript: de padrões a uma abordagem funcional;mai de 2023;https://cursos.alura.com.br/certificate/22e696f3-13e5-47da-ac4c-958c78bd8055?lang=pt_BR;Alura;Curso Online
Angular parte 1: produtividade e organização com framework SPA;mai de 2023;https://cursos.alura.com.br/certificate/de324e2d-a9a0-4c62-89c7-c2a1d14bf4e1?lang=pt_BR;Alura;Curso Online
Bootstrap5: crie uma landing page responsiva;mai de 2023;https://cursos.alura.com.br/certificate/3074798b-4de4-40c8-95c1-34102e8498f8?lang=pt_BR;Alura;Curso Online
JavaScript: interfaces e Herança em Orientação a Objetos;mai de 2023;https://cursos.alura.com.br/certificate/56ff3cf6-0306-4c5b-9dd0-6b9261abeec9?lang=pt_BR;Alura;Curso Online
Praticando CSS: Grid e Flexbox;mai de 2023;https://cursos.alura.com.br/certificate/6f8f96b8-a491-4f20-939b-548957dc885d?lang=pt_BR;Alura;Curso Online
Arquitetura de computadores: por trás de como seu programa funciona;mai de 2023;https://cursos.alura.com.br/certificate/08a47416-b27c-4fb6-8f73-45e19a971257?lang=pt_BR;Alura;Curso Online
Swagger: documentando suas APIs;abr de 2023;https://cursos.alura.com.br/certificate/220b1080-4160-4cc1-be3a-9bb23ab656f5?lang=pt_BR;Alura;Curso Online
HTTP: entendendo a web por baixo dos panos;abr de 2023;https://cursos.alura.com.br/certificate/72dd33e9-e30c-4b21-8ec4-3f7217318729?lang=pt_BR;Alura;Curso Online
Linux Onboarding: usando a CLI de uma forma rápida e prática;abr de 2023;https://cursos.alura.com.br/certificate/ab47e5ff-ce28-4644-b83e-94c50b0d414b?lang=pt_BR;Alura;Curso Online
Java OO: entendendo a Orientação a Objetos;abr de 2023;https://cursos.alura.com.br/certificate/51d84a52-4b6b-46ca-94aa-16606a1d4e9a?lang=pt_BR;Alura;Curso Online
Lógica de programação: laços e listas com JavaScript;abr de 2023;https://cursos.alura.com.br/certificate/9757e5b5-55d5-4efa-81f9-4e17d3ea2f98?lang=pt_BR;Alura;Curso Online
Lógica de programação: comece em lógica com o jogo Pong e JavaScript;abr de 2023;https://cursos.alura.com.br/certificate/2a95d111-b462-4f2f-955c-976e0ea4a7be?lang=pt_BR;Alura;Curso Online
Inteligência artificial Generativa: Midjourney e ChatGPT;mar de 2023;https://cursos.alura.com.br/certificate/ed81a63e-3cb5-4ffb-b070-2e04562d8701?lang=pt_BR;Alura;Curso Online
JavaScript e HTML: pratique lógica com desenhos, animações e um jogo;mar de 2023;https://cursos.alura.com.br/certificate/3c063377-ab16-4b18-81ad-0725e9447158?lang=pt_BR;Alura;Curso Online
